Date	Hour	Effectif
04/01/2024	14	0
04/01/2024	15	0
04/01/2024	16	0
04/01/2024	17	0
04/01/2024	18	0
04/01/2024	19	0
04/01/2024	20	0
04/01/2024	21	0
04/01/2024	22	0
04/01/2024	23	0
05/01/2024	0	1
05/01/2024	1	0
05/01/2024	2	0
05/01/2024	3	30
05/01/2024	4	1
05/01/2024	5	24
05/01/2024	6	26
05/01/2024	7	5
05/01/2024	8	0
05/01/2024	9	0
05/01/2024	10	0
05/01/2024	11	0
05/01/2024	12	0
05/01/2024	13	0
05/01/2024	14	0
05/01/2024	15	0
05/01/2024	16	0
05/01/2024	17	0
05/01/2024	18	16
05/01/2024	19	13
05/01/2024	20	5
05/01/2024	21	10
05/01/2024	22	0
05/01/2024	23	20
06/01/2024	0	7
06/01/2024	1	17
06/01/2024	2	1
06/01/2024	3	2
06/01/2024	4	4
06/01/2024	5	5
06/01/2024	6	7
06/01/2024	7	14
06/01/2024	8	3
06/01/2024	9	0
06/01/2024	10	0
06/01/2024	11	0
06/01/2024	12	0
06/01/2024	13	0
06/01/2024	14	0
06/01/2024	15	0
06/01/2024	16	0
06/01/2024	17	1
06/01/2024	18	4
06/01/2024	19	0
06/01/2024	20	9
06/01/2024	21	1
06/01/2024	22	0
06/01/2024	23	2
07/01/2024	0	8
07/01/2024	1	14
07/01/2024	2	14
07/01/2024	3	2
07/01/2024	4	0
07/01/2024	5	0
07/01/2024	6	1
07/01/2024	7	0
07/01/2024	8	0
07/01/2024	9	0
07/01/2024	10	0
07/01/2024	11	0
07/01/2024	12	0
07/01/2024	13	0
07/01/2024	14	0
07/01/2024	15	0
07/01/2024	16	0
07/01/2024	17	6
07/01/2024	18	5
07/01/2024	19	0
07/01/2024	20	2
07/01/2024	21	2
07/01/2024	22	0
07/01/2024	23	0
08/01/2024	0	0
08/01/2024	1	0
08/01/2024	2	0
08/01/2024	3	0
08/01/2024	4	0
08/01/2024	5	0
08/01/2024	6	0
08/01/2024	7	0
08/01/2024	8	0
08/01/2024	9	0
08/01/2024	10	0
08/01/2024	11	0
08/01/2024	12	0
08/01/2024	13	0
08/01/2024	14	0
08/01/2024	15	0
08/01/2024	16	0
08/01/2024	17	0
08/01/2024	18	0
08/01/2024	19	0
08/01/2024	20	0
08/01/2024	21	0
08/01/2024	22	0
08/01/2024	23	0
09/01/2024	0	0
09/01/2024	1	0
09/01/2024	2	0
09/01/2024	3	0
09/01/2024	4	0
09/01/2024	5	0
09/01/2024	6	0
09/01/2024	7	0
09/01/2024	8	0
09/01/2024	9	0
09/01/2024	10	0
09/01/2024	11	0
09/01/2024	12	0
09/01/2024	13	0
09/01/2024	14	0
09/01/2024	15	0
09/01/2024	16	0
09/01/2024	17	0
09/01/2024	18	0
09/01/2024	19	0
09/01/2024	20	0
09/01/2024	21	0
09/01/2024	22	0
09/01/2024	23	0
10/01/2024	0	0
10/01/2024	1	0
10/01/2024	2	0
10/01/2024	3	0
10/01/2024	4	0
10/01/2024	5	1
10/01/2024	6	0
10/01/2024	7	0
10/01/2024	8	0
10/01/2024	9	0
10/01/2024	10	0
10/01/2024	11	0
10/01/2024	12	0
10/01/2024	13	0
10/01/2024	14	0
10/01/2024	15	0
10/01/2024	16	0
10/01/2024	17	0
10/01/2024	18	0
10/01/2024	19	0
10/01/2024	20	0
10/01/2024	21	8
10/01/2024	22	12
10/01/2024	23	3
11/01/2024	0	0
11/01/2024	1	9
11/01/2024	2	113
11/01/2024	3	7
11/01/2024	4	0
11/01/2024	5	0
11/01/2024	6	0
11/01/2024	7	0
11/01/2024	8	0
11/01/2024	9	0
11/01/2024	10	5
11/01/2024	11	0
11/01/2024	12	0
11/01/2024	13	0
11/01/2024	14	0
11/01/2024	15	0
11/01/2024	16	0
11/01/2024	17	0
11/01/2024	18	5
11/01/2024	19	0
11/01/2024	20	0
11/01/2024	21	0
11/01/2024	22	2
11/01/2024	23	0
12/01/2024	0	0
12/01/2024	1	0
12/01/2024	2	0
12/01/2024	3	0
12/01/2024	4	0
12/01/2024	5	0
12/01/2024	6	2
12/01/2024	7	1
12/01/2024	8	0
12/01/2024	9	0
12/01/2024	10	0
12/01/2024	11	0
12/01/2024	12	0
12/01/2024	13	2
12/01/2024	14	0
12/01/2024	15	0
12/01/2024	16	0
12/01/2024	17	0
12/01/2024	18	2
12/01/2024	19	0
12/01/2024	20	45
12/01/2024	21	3
12/01/2024	22	0
12/01/2024	23	4
13/01/2024	0	0
13/01/2024	1	0
13/01/2024	2	0
13/01/2024	3	0
13/01/2024	4	1
13/01/2024	5	2
13/01/2024	6	0
13/01/2024	7	0
13/01/2024	8	0
13/01/2024	9	0
13/01/2024	10	0
13/01/2024	11	9
13/01/2024	12	0
